,0
0,-70.809
1,-70.809
2,-70.809
3,-70.809
4,-70.809
5,-70.809
6,-71.319
7,-71.319
8,-71.319
9,-71.319
10,-71.319
11,-71.319
12,-71.319
13,-71.319
14,-70.821
15,-70.821
16,-70.699
17,-70.699
18,-69.358
19,-69.358
20,-69.358
21,-69.358
22,-69.358
23,-70.089
24,-70.089
25,-70.089
26,-70.089
27,-70.089
28,-69.536
29,-69.536
30,-70.637
31,-71.121
32,-71.121
33,-71.121
34,-70.728
35,-70.728
36,-70.728
37,-70.728
38,-70.488
39,-70.488
40,-70.437
41,-70.437
42,-70.437
43,-70.761
44,-70.761
45,-70.761
46,-71.014
47,-71.014
48,-70.727
49,-70.467
50,-70.467
51,-70.467
52,-70.467
53,-70.487
54,-70.487
55,-70.487
56,-70.487
57,-70.487
58,-70.487
59,-70.487
60,-71.211
61,-71.211
62,-71.211
63,-71.211
64,-71.61133333333333
65,-71.211
66,-71.61133333333333
67,-71.61133333333333
68,-71.39366666666666
69,-71.39366666666666
70,-71.34533333333333
71,-71.39366666666666
72,-71.34533333333333
73,-71.34733333333332
74,-71.34733333333332
75,-71.656
76,-71.82633333333332
77,-71.656
78,-71.82633333333332
79,-71.90466666666667
80,-71.79433333333333
81,-71.79433333333333
82,-71.01
83,-71.01
84,-71.01
85,-70.947
86,-70.947
87,-70.947
88,-70.947
89,-71.143
90,-71.143
91,-71.143
92,-71.143
93,-71.143
94,-71.143
95,-71.143
96,-71.143
97,-71.186
98,-71.186
99,-71.186
100,-71.186
101,-71.186
102,-71.186
103,-71.186
104,-71.186
105,-71.186
106,-71.104
107,-71.104
108,-71.53
109,-71.53
110,-71.232
111,-71.232
112,-71.104
113,-71.104
114,-71.395
115,-71.395
116,-71.395
117,-70.865
118,-70.865
119,-70.865
120,-71.602
121,-71.602
122,-71.829
123,-71.829
124,-71.702
125,-71.702
126,-71.585
127,-71.585
128,-71.585
129,-71.324
130,-71.324
131,-71.403
132,-71.403
133,-71.52266666666667
134,-71.693
135,-71.52266666666667
136,-71.52266666666667
137,-71.259
138,-71.259
139,-71.259
140,-71.558
141,-71.558
142,-71.205
143,-71.205
144,-70.968
145,-70.968
146,-70.968
147,-70.968
148,-71.16
149,-71.16
150,-71.16
151,-71.16
152,-71.16
153,-71.16
154,-70.821
155,-70.821
156,-70.821
157,-70.821
158,-70.813
159,-70.813
160,-71.016
161,-71.016
162,-71.054
163,-71.054
164,-70.898
165,-70.898
166,-70.721
167,-70.721
168,-70.588
169,-70.588
170,-70.49366666666667
171,-70.49366666666667
172,-70.679
173,-70.49366666666667
174,-70.49366666666667
175,-70.49366666666667
176,-70.528
177,-70.528
178,-70.528
179,-70.64
180,-70.598
181,-70.598
182,-70.598
183,-70.598
184,-70.598
185,-70.551
186,-70.551
187,-70.551
188,-70.551
189,-70.551
190,-70.48200000000001
191,-70.48200000000001
192,-70.46466666666667
193,-70.482
194,-70.46466666666667
195,-70.44833333333334
196,-70.44833333333334
197,-70.347
198,-70.347
199,-70.347
200,-70.347
201,-70.515
202,-70.515
203,-70.515
204,-70.59933333333333
205,-70.515
206,-70.59933333333333
207,-70.62766666666667
208,-70.66433333333335
209,-70.673
210,-70.58433333333333
211,-70.46366666666667
212,-70.46366666666667
213,-70.46366666666667
214,-70.387
215,-70.387
216,-70.387
217,-70.387
218,-70.435
219,-70.435
220,-70.435
221,-70.435
222,-70.435
223,-70.33033333333334
224,-70.33033333333334
225,-70.33033333333334
226,-70.489
227,-70.33033333333334
228,-70.33033333333334
229,-70.54533333333333
230,-70.54533333333333
231,-70.57033333333334
232,-70.54533333333333
233,-70.57033333333332
234,-70.57033333333332
235,-70.57033333333332
236,-70.57033333333332
237,-70.553
238,-70.553
239,-70.553
240,-70.553
241,-70.273
242,-70.553
243,-70.553
244,-70.688
245,-70.688
246,-70.688
247,-70.688
248,-70.688
249,-70.425
250,-70.425
251,-70.425
252,-70.425
253,-70.425
254,-70.681
255,-70.681
256,-70.464
257,-70.464
258,-70.724
259,-70.724
260,-70.393
261,-70.393
262,-70.393
263,-70.508
264,-70.511
265,-70.511
266,-70.60233333333333
267,-70.61466666666666
268,-70.60233333333333
269,-70.61466666666666
270,-70.61466666666666
271,-70.61466666666666
272,-70.085
273,-70.085
274,-70.085
275,-70.085
276,-70.085
277,-70.085
278,-70.524
279,-70.524
280,-70.524
281,-70.524
282,-70.524
283,-70.524
284,-70.375
285,-70.166
286,-70.166
287,-70.54866666666668
288,-70.45066666666666
289,-70.54866666666668
290,-70.45066666666666
291,-70.512
292,-70.51166666666667
293,-70.51166666666667
294,-70.51166666666667
295,-70.51166666666667
296,-70.236
297,-70.236
298,-70.236
299,-70.236
300,-70.287
301,-70.287
302,-70.171
303,-70.171
304,-70.171
305,-70.249
306,-70.249
307,-70.249
308,-70.249
309,-70.312
310,-70.312
311,-70.36
312,-70.36
313,-70.16366666666666
314,-69.978
315,-70.16366666666666
316,-70.16366666666666
317,-70.695
318,-70.695
319,-70.695
320,-70.327
321,-70.327
322,-70.327
323,-70.327
324,-70.327
325,-70.29
326,-70.29
327,-70.29
328,-70.29
329,-70.526
330,-70.526
331,-70.593
332,-70.593
333,-70.563
334,-70.563
335,-70.563
336,-70.187
337,-70.187
338,-70.187
339,-70.275
340,-70.275
341,-70.275
342,-70.385
343,-70.385
344,-70.385
345,-70.385
346,-70.385
347,-70.024
348,-70.024
349,-70.024
350,-70.024
351,-70.024
352,-70.024
353,-70.256
354,-70.256
355,-70.256
356,-70.256
357,-70.256
358,-70.331
359,-70.331
360,-70.331
361,-70.331
362,-70.331
363,-70.331
364,-70.331
365,-70.331
366,-70.331
367,-70.656
368,-70.656
369,-70.656
370,-70.656
371,-70.656
372,-70.656
373,-70.656
374,-70.656
375,-70.43933333333332
376,-70.171
377,-70.43933333333332
378,-70.43933333333332
379,-70.438
380,-70.438
381,-70.438
382,-70.098
383,-70.098
384,-70.098
385,-69.983
386,-69.983
387,-69.983
388,-70.699
389,-70.699
390,-70.847
391,-70.699
392,-70.699
393,-70.722
394,-70.722
395,-70.722
396,-71.06
397,-71.06
398,-71.06
399,-71.06
400,-70.774
401,-70.774
402,-70.774
403,-70.774
404,-70.51
405,-70.51
406,-70.51
407,-70.51
408,-70.26566666666668
409,-70.26566666666668
410,-70.26566666666668
411,-70.522
412,-70.26566666666668
413,-70.522
414,-70.639
415,-70.639
416,-70.46366666666667
417,-70.573
418,-70.46366666666667
419,-70.46366666666667
420,-70.35833333333333
421,-70.412
422,-70.35833333333333
423,-70.35833333333333
424,-70.171
425,-70.171
426,-70.171
427,-70.016
428,-70.016
429,-70.016
430,-70.016
431,-70.126
432,-70.126
433,-70.085
434,-70.085
435,-69.87866666666667
436,-69.774
437,-69.87866666666667
438,-69.87866666666667
439,-69.87866666666667
440,-70.253
441,-70.253
442,-70.253
443,-69.851
444,-69.851
445,-69.851
446,-69.851
447,-70.359
448,-70.359
449,-70.359
450,-70.359
451,-70.359
452,-70.359
453,-70.359
454,-70.274
455,-70.274
456,-70.274
457,-70.274
458,-70.274
459,-70.274
460,-70.274
461,-70.274
462,-70.274
463,-70.29
464,-70.29
465,-70.29
466,-70.29
467,-70.29
468,-70.657
469,-70.657
470,-70.657
471,-70.657
472,-70.657
473,-70.657
474,-69.976
475,-69.976
476,-69.976
477,-69.976
478,-69.976
479,-69.976
480,-70.657
481,-70.657
482,-70.657
483,-70.777
