,0
0,0.006884880004067728
1,-0.06033431347298218
2,-0.12766069100339614
3,-0.18782873264840438
4,-0.2617864161479193
5,-0.3365938067528676
6,-0.3937959644224985
7,-0.4549267238729118
8,-0.5238727814456648
9,-0.5704307874388277
10,-0.6229773269766359
11,-0.6799602581762779
12,-0.7203594539702306
13,-0.7742861238087758
14,-0.8097259713660021
15,-0.8488690626245038
16,-0.8811102567017013
17,-0.9027355088565465
18,-0.92961814284942
19,-0.9470429109760934
20,-0.9626502044212029
21,-0.9770435265356522
22,-0.983651876374953
23,-0.9742398300306335
24,-0.9706479178653277
25,-0.9636992220985959
26,-0.949036423219528
27,-0.9350326195097509
28,-0.9102397785908846
29,-0.8783376837067457
30,-0.8485832110434682
31,-0.8063867439267699
32,-0.7702912932367129
33,-0.7310893673235267
34,-0.6672693148877265
35,-0.6203568704701659
36,-0.5699901690077207
37,-0.5189809474439723
38,-0.45642732671982617
39,-0.40066749221204906
40,-0.3220804024847502
41,-0.2617192345036939
42,-0.2061217041010386
43,-0.12497765933269829
44,-0.06423309964915509
45,0.010482626180996147
46,0.07419545921296361
47,0.14652976454147365
48,0.21703833840347042
49,0.28235194865133717
50,0.34552042036282427
51,0.409307689104761
52,0.476539444634875
53,0.5294221104616021
54,0.5850565684012015
55,0.6438952959745317
56,0.7018160406422177
57,0.7480105158823326
58,0.7946669024271329
59,0.8274454851890367
60,0.8568725786576714
61,0.8907578534946332
62,0.9290293138062506
63,0.9527850430253773
64,0.9613802261180788
65,0.9801815492592727
66,0.9917551961356219
67,0.9975248019196875
68,1.0
69,0.992357628992774
70,0.9790129427434391
71,0.9673742515186465
72,0.9546849292928384
73,0.919353038003677
74,0.8934268664621742
75,0.8720862876821673
76,0.831493824286267
77,0.7890901220657665
78,0.7474482321626646
79,0.7011873594567755
80,0.649487107789441
81,0.5785897101394881
82,0.526789238906137
83,0.47026704378892487
84,0.40767264813291304
85,0.351942589829244
86,0.28375912849390617
87,0.21080505036942798
88,0.14423440718755695
89,0.07723160385384555
90,0.0015843124213236065
