,Method,Silhouette,PBIndex,AUCC,GammaIndex,Noise,Penalty
0,HDBSCAN_{m}.png,0.17685851,-0.12490454920021023,0.6297012676448486,0,3164,0.6411884781129508
1,OPTICS_{m}.png,0.18593557,-0.1172134964616069,0.5924524013648058,0,3573,0.5948060784758449
2,FOSC_{m}_{lm},0.550353,-0.15656332823638333,0.9941545456588573,0,36,0.9959174415967339
3,FOSC_{m}_{lm},0.40362704,-0.3445996295883783,0.9868438732229379,0,14,0.9984123383987299
4,FOSC_{m}_{lm},0.22006498,-0.3788542164751401,0.8260906348816871,0,0,1.0
5,FOSC_{m}_{lm},0.18593773,-0.23578957254715086,0.7148290080979061,0,5,0.9994329779995463
6,FOSC_{m}_{lm},0.48929253,-0.3354373363997472,0.9717000468202003,0,5,0.9994329779995463
