,HDBSCAN_2_5,OPTICS_2_5,HDBSCAN_3_5,OPTICS_3_5,HDBSCAN_5_5,OPTICS_5_5,HDBSCAN_8_5,OPTICS_8_5,HDBSCAN_13_5,OPTICS_13_5,FOSC_5_single,FOSC_5_average,FOSC_5_ward,FOSC_5_complete,FOSC_5_weighted
0,1,1,1,1,1,1,0,1,1,0,2,2,2,2,2
1,1,0,1,1,1,1,0,1,1,0,2,2,2,2,2
2,1,0,1,3,1,3,0,4,1,2,2,2,2,2,2
3,1,0,1,1,1,1,0,1,1,0,2,2,2,2,2
4,1,0,1,0,1,0,0,3,1,2,2,2,2,2,2
5,1,1,1,1,1,1,0,1,1,0,2,2,2,2,2
6,1,4,1,4,1,4,0,2,1,3,2,2,2,2,2
7,1,0,1,4,1,4,0,2,1,0,2,2,2,2,2
8,1,2,1,2,1,2,0,3,1,0,2,2,2,2,2
9,1,0,1,0,1,0,0,2,1,0,2,2,2,2,2
10,1,4,1,4,1,4,0,2,1,3,2,2,2,2,2
11,1,1,1,1,1,1,0,1,1,0,2,2,2,2,2
12,1,2,1,2,1,2,0,3,1,2,2,2,2,2,2
13,1,3,1,3,1,3,0,4,1,2,2,2,2,2,2
14,1,0,1,0,1,0,0,0,1,0,2,2,2,2,2
15,1,0,1,0,1,1,0,1,1,1,2,2,2,2,2
16,1,4,1,4,1,4,0,2,1,3,2,2,2,2,2
17,1,2,1,2,1,2,0,3,1,2,2,2,2,2,2
18,1,2,1,2,1,2,0,3,1,2,2,2,2,2,2
19,1,3,1,3,1,3,0,4,1,2,2,2,2,2,2
20,1,0,1,3,1,3,0,4,1,2,2,2,2,2,2
21,1,0,1,3,1,3,0,4,1,2,2,2,2,2,2
22,1,0,1,2,1,2,0,3,1,2,2,2,2,2,2
23,1,0,1,0,1,0,0,0,1,1,2,2,2,2,2
24,1,0,1,0,1,0,0,0,1,2,2,2,2,2,2
25,1,0,1,3,1,0,0,0,1,2,2,2,2,2,2
26,1,4,1,4,1,4,0,2,1,0,2,2,2,2,2
27,1,0,1,0,1,0,0,1,1,1,2,2,2,2,2
28,1,0,1,0,1,0,0,0,1,0,2,2,2,2,2
29,1,4,1,4,1,4,0,2,1,3,2,2,2,2,2
30,1,0,1,3,1,0,0,4,1,2,2,2,2,2,2
31,1,0,1,4,1,4,0,2,1,0,2,2,2,2,2
32,1,3,1,3,1,3,0,4,1,2,2,2,2,2,2
33,1,1,1,1,1,1,0,1,1,1,2,2,2,2,2
34,1,3,1,3,1,3,0,4,1,2,2,2,2,2,2
35,1,4,1,4,1,4,0,2,1,0,2,2,2,2,2
36,1,0,1,1,1,1,0,1,1,1,2,2,2,2,2
37,1,0,1,0,1,0,0,3,1,1,2,2,2,2,2
38,1,1,1,1,1,1,0,1,1,1,2,2,2,2,2
39,1,2,1,2,1,2,0,3,1,2,2,2,2,2,2
40,1,3,1,3,1,3,0,4,1,2,2,2,2,2,2
41,1,2,1,2,1,2,0,3,1,2,2,2,2,2,2
42,1,0,1,0,1,0,0,3,1,2,2,2,2,2,2
43,1,0,1,0,1,0,0,3,1,2,2,2,2,2,2
44,1,0,1,0,1,0,0,4,1,2,2,2,2,2,2
45,1,0,1,0,1,1,0,1,1,3,2,2,2,2,2
46,1,3,1,3,1,3,0,4,1,2,2,2,2,2,2
47,1,3,1,3,1,3,0,4,1,2,2,2,2,2,2
48,1,0,1,0,1,0,0,1,1,1,2,2,2,2,2
49,1,2,1,2,1,2,0,3,1,2,2,2,2,2,2
50,4,0,4,0,3,6,1,6,0,4,3,3,3,3,3
51,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3
52,4,0,4,0,3,0,1,6,0,4,3,3,3,3,3
53,4,0,4,0,3,0,1,0,0,4,3,3,3,3,3
54,2,8,2,0,2,0,1,7,0,5,3,3,3,3,3
55,2,8,2,0,2,0,1,7,0,5,3,3,3,3,3
56,2,7,2,7,2,7,1,7,0,5,3,3,3,3,3
57,2,8,2,0,2,7,1,7,0,5,3,3,3,3,3
58,4,0,4,0,3,6,1,6,0,4,3,3,3,3,3
59,4,6,4,6,3,6,1,6,0,4,3,3,3,3,3
60,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3
