,Method,PB,AUCC,Silhouette,Noise,Penalty
0,HDBSCAN_2_5,-0.7101390893200329,0.8770945601265181,0.6174666023254395,12,0.88
1,OPTICS_2_5,-0.19173226359763892,0.4628092765662859,-0.07214310467243194,53,0.47
2,HDBSCAN_3_5,-0.705303500160003,0.867651372193222,0.6077523851394653,13,0.87
3,OPTICS_3_5,-0.20914152368999797,0.5247371110527989,-0.024362923428416252,47,0.53
4,HDBSCAN_5_5,-0.7514387976894277,0.8679865925571759,0.6272051417827607,13,0.87
5,OPTICS_5_5,-0.23879156014289457,0.5651336181578115,0.016688009686768052,42,0.58
6,HDBSCAN_8_5,,0.0,0.4939132332801819,50,0.5
7,OPTICS_8_5,-0.3466678065890452,0.7432617368762422,0.2379948139190674,20,0.8
8,HDBSCAN_13_5,,0.0,0.4939132332801819,50,0.5
9,OPTICS_13_5,-0.4713005871609205,0.7009636987951599,0.16060667514801025,24,0.76
10,FOSC_5_single,-0.9991605244539449,1.0,0.9878264665603638,0,1.0
11,FOSC_5_average,-0.9991605244539449,1.0,0.9878264665603638,0,1.0
12,FOSC_5_ward,-0.9991605244539449,1.0,0.9878264665603638,0,1.0
13,FOSC_5_complete,-0.9991605244539449,1.0,0.9878264665603638,0,1.0
14,FOSC_5_weighted,-0.9991605244539449,1.0,0.9878264665603638,0,1.0
